timestamp,phase,model,language,prompt_template,question,concept,region,metric_name,metric_value,p_value,test_type,n_samples,notes
2026-07-13T21:02:31.342303,Q3,openclip,es,,,,,mean_prompt_gain_P3,-0.00897730779252015,,,,tier=Tier1
2026-07-13T21:02:31.343014,Q3,openclip,es,,,,,mean_prompt_gain_P3,-0.012265452769740174,,,,tier=Tier2
2026-07-13T21:02:31.345220,Q3,openclip,es,,,,,prompt_gain_tier_diff_p,0.46668383508502714,0.46668383508502714,Welch_ind,60,
2026-07-13T21:02:31.352747,Q3,openclip,ar,,,,,mean_prompt_gain_P3,0.019683159018556277,,,,tier=Tier1
2026-07-13T21:02:31.353310,Q3,openclip,ar,,,,,mean_prompt_gain_P3,-0.002975799236446619,,,,tier=Tier2
2026-07-13T21:02:31.355493,Q3,openclip,ar,,,,,prompt_gain_tier_diff_p,7.854579146116288e-05,7.854579146116288e-05,Welch_ind,60,
2026-07-13T21:02:31.402911,Q3,siglip2,es,,,,,mean_prompt_gain_P3,0.029415659612398788,,,,tier=Tier1
2026-07-13T21:02:31.403448,Q3,siglip2,es,,,,,mean_prompt_gain_P3,0.012353200341188615,,,,tier=Tier2
2026-07-13T21:02:31.405600,Q3,siglip2,es,,,,,prompt_gain_tier_diff_p,0.22574271979485938,0.22574271979485938,Welch_ind,60,
2026-07-13T21:02:31.414154,Q3,siglip2,ar,,,,,mean_prompt_gain_P3,0.04371489198335136,,,,tier=Tier1
2026-07-13T21:02:31.414737,Q3,siglip2,ar,,,,,mean_prompt_gain_P3,-0.024521167723772427,,,,tier=Tier2
2026-07-13T21:02:31.416351,Q3,siglip2,ar,,,,,prompt_gain_tier_diff_p,0.00048247353669299064,0.00048247353669299064,Welch_ind,60,
2026-07-13T21:55:49.500311,Phase1_Taxonomy,openclip,,,,dustbin,,S_west_gap,0.016348993778228738,,,,tier=Tier2 acc=37
2026-07-13T21:55:49.500311,Phase1_Taxonomy,openclip,,,,medicine,,S_west_gap,-0.04062928557395934,,,,tier=Tier2 acc=54
2026-07-13T21:55:49.500819,Phase1_Taxonomy,openclip,,,,cleaning equipment,,S_west_gap,-0.04648586511611941,,,,tier=Tier2 acc=59
2026-07-13T21:55:49.500819,Phase1_Taxonomy,openclip,,,,spices,,S_west_gap,-0.008047205209732011,,,,tier=Tier2 acc=63
2026-07-13T21:55:49.501333,Phase1_Taxonomy,openclip,,,,house,,S_west_gap,-0.07290600538253789,,,,tier=Tier2 acc=63
2026-07-13T21:55:49.501333,Phase1_Taxonomy,openclip,,,,car,,S_west_gap,-0.01744080781936641,,,,tier=Tier1 acc=96
2026-07-13T21:55:49.501845,Phase1_Taxonomy,openclip,,,,bag,,S_west_gap,-0.04498165845870972,,,,tier=Tier1 acc=96
